,feature,impact,risk_score,correlation,risk_correlation
52,adpcm_main_label12.pipe,0.7423153892398121,0.9423084459367985,0.9551541849590288,0.9000498556587718
59,adpcm_main_label13.pipe,0.22796602920080353,0.4128062598072582,0.7501343292535881,0.30966014681220005
65,decode_label2.unr.factor,0.047926031087726854,0.11898154539923853,0.5830248317115179,0.06936919548316736
74,decode_label3.pipe,0.013125753333381254,0.016741979649803996,0.5800551533698896,0.009711271573482626
101,reset_label7.unr.factor,0.013290165109108769,0.02450252852154246,0.2504713987860338,0.006137182592585429
12,quantl_label9.pipe,0.007230166243822236,0.008224565009578338,0.6695305456085252,0.00550659749825577
57,adpcm_main_label13.unr.factor,0.007577728289295523,0.010247715371535097,0.5123281834647742,0.005250193400962619
33,upzero_label11.unr.factor,0.00232457776167247,0.005783018957053166,0.7381723955420428,0.004268864956992981
72,decode_label3.unr.factor,0.007552963856836933,0.015510510225144235,0.2197114816972282,0.0034078371834464485
103,reset_label7.pipe,0.004902228423324829,0.005870173067067605,0.44943008028195464,0.0026382323528011615
25,encode_label1.unr.factor,0.005324984515332735,0.007402923140046528,0.3423623330571045,0.002534482037668755
87,reset_label5.unr.factor,0.0010366659487620112,0.002981329930539827,0.5719848837123538,0.0017052756536279827
78,reset.lm,0.0028040120679960817,0.003681137719829485,0.4094623532334571,0.0015072873133378235
89,reset_label5.pipe,0.002507153035726218,0.004446608877810387,0.3078202775739405,0.0013687563790303415
18,encode_label0.unr.factor,0.004466819448431654,0.006660556759052119,0.1757253540837374,0.001170428694879264
80,reset_label4.unr.factor,0.0018929612663215684,0.004309081168706922,0.2071521887447788,0.0008926355955765484
100,reset_label7.unr,0.0012607112503927962,0.001655292953030814,0.3277535753623214,0.0005425281836279045
42,upzero_label10.pipe,0.0007196853711391137,0.0012598725746325475,0.3042952396288295,0.0003833732269996014
17,encode_label0.unr,0.0031204840393363555,0.0035360606940586553,0.10344575018837271,0.0003657904512085155
40,upzero_label10.unr.factor,0.0007259792693154547,0.0009109614260776109,0.29130638922959584,0.0002653688837581122
96,reset_label6.pipe,0.0008288332362812534,0.0008870317423563734,0.14528688212428637,0.00012887407619223076
0,filtez.lm,0.0,0.0,0.0,0.0
6,filtez_label8.lf,0.0,0.0,0.0,0.0
