,feature,impact,risk_score,correlation,risk_correlation
80,AddRoundKey_InversMixColumn_label0.lf,0.016617436490957534,0.03519626551557815,0.8065515423353313,0.02838760223603339
53,KeySchedule_label6.unr,0.01620717048669137,0.026688139460713366,0.8727051081597942,0.02329087563464553
1,Sbox.ap.factor,0.014389854760612834,0.01976544844149895,0.784988095164366,0.015515641722161747
68,AddRoundKey_InversMixColumn_label2.unr,0.00019540758219911236,0.013297818943847232,0.9954973246599557,0.013237943182412396
39,KeySchedule_label4.unr,0.0001921558770439973,0.01307228980876971,0.9955461452851965,0.013014067729171642
89,AddRoundKey_InversMixColumn_label3.unr,3.2865752519363146e-05,0.00709900254418244,1.0,0.00709900254418244
100,encrypt_label1.pipe,0.003313207170861951,0.008758560333314288,0.7565777574946407,0.006626531935860437
92,AddRoundKey_InversMixColumn_label3.pipe,0.006656542564457002,0.009537402176099255,0.6423055167077673,0.0061259260327692164
31,MixColumn_AddRoundKey_label1.unr,2.235275618431842e-05,0.004828195335812779,1.0,0.004828195335812779
24,MixColumn_AddRoundKey_label0.unr,1.5313530411015528e-05,0.0033077225687793543,1.0,0.0033077225687793543
61,KeySchedule_label9.unr.factor,0.00012962131529388056,0.004412268306241458,0.707396468566827,0.0031212230182045427
27,MixColumn_AddRoundKey_label0.pipe,0.0035681893318635946,0.0048801412135349815,0.5283385136096195,0.0025783665549641167
46,KeySchedule_label5.unr,0.0026127150593093567,0.0029715772536703555,0.7261869593826278,0.002157920650413455
71,AddRoundKey_InversMixColumn_label2.pipe,0.002277895287282759,0.0029307361568146925,0.6620023313845246,0.001940154168484248
42,KeySchedule_label4.pipe,0.0027377685976354765,0.0030426788183721496,0.5130608723170063,0.0015610794487344929
49,KeySchedule_label5.pipe,0.0025785111244578016,0.0034597744017102186,0.3838291364245357,0.001327962220832148
17,AddRoundKey_label0.pipe,0.003950797208410939,0.004733828335887344,0.24344160150339508,0.0011524107513305665
34,MixColumn_AddRoundKey_label1.pipe,0.0025079394023650526,0.002487586934122748,0.3405736046863826,0.0008472064491249312
63,KeySchedule_label9.pipe,0.0034177253767159795,0.0036678984525845277,0.19425239837655472,0.0007124980714161983
0,Sbox.ap,0.001597499501989781,0.0016433286253447344,0.15676674288129025,0.00025761927607888214
9,decrypt_label4.pipe,4.874659517817687e-05,0.0001333665348457714,0.6261901013287835,8.351280396894233e-05
6,decrypt_label4.unr,0.0038725808714290357,0.003801504333021494,0.011497749568130223,4.3708744803243056e-05
4,InversShiftRow_ByteSub.lm,0.0,0.0,0.0,0.0
5,decrypt.lm,0.0,0.0,0.0,0.0
11,decrypt_label4.lf,0.0,0.0,0.0,0.0
12,decrypt_label4.lm,0.0,0.0,0.0,0.0
13,AddRoundKey.lm,0.0,0.0,0.0,0.0
14,AddRoundKey_label0.unr,0.0,0.0,0.0,0.0
15,AddRoundKey_label0.unr.factor,0.0,0.0,0.0,0.0
16,AddRoundKey_label0.unr.full,0.0,0.0,0.0,0.0
19,AddRoundKey_label0.lf,0.0,0.0,0.0,0.0
20,AddRoundKey_label0.lm,0.0,0.0,0.0,0.0
21,aes_main.lm,0.0,0.0,0.0,0.0
22,ByteSub_ShiftRow.lm,0.0,0.0,0.0,0.0
29,MixColumn_AddRoundKey_label0.lf,0.0,0.0,0.0,0.0
30,MixColumn_AddRoundKey_label0.lm,0.0,0.0,0.0,0.0
36,MixColumn_AddRoundKey_label1.lf,0.0,0.0,0.0,0.0
37,MixColumn_AddRoundKey_label1.lm,0.0,0.0,0.0,0.0
38,KeySchedule.lm,0.0,0.0,0.0,0.0
45,KeySchedule_label4.lm,0.0,0.0,0.0,0.0
52,KeySchedule_label5.lm,0.0,0.0,0.0,0.0
59,KeySchedule_label6.lm,0.0,0.0,0.0,0.0
66,KeySchedule_label9.lm,0.0,0.0,0.0,0.0
73,AddRoundKey_InversMixColumn_label2.lf,0.0,0.0,0.0,0.0
74,AddRoundKey_InversMixColumn_label2.lm,0.0,0.0,0.0,0.0
81,AddRoundKey_InversMixColumn_label0.lm,0.0,0.0,0.0,0.0
88,AddRoundKey_InversMixColumn_label1.lm,0.0,0.0,0.0,0.0
94,AddRoundKey_InversMixColumn_label3.lf,0.0,0.0,0.0,0.0
95,AddRoundKey_InversMixColumn_label3.lm,0.0,0.0,0.0,0.0
