,feature,impact,risk_score,correlation,risk_correlation
28,get_delta_matrix_weights2_loop1_1.unr.factor,0.046250899399908285,0.19662084306236988,0.736077218134952,0.14472812318869818
56,update_weights_loop1_1.unr.full,0.0150797210748934,0.059571148067820795,0.48313729943046313,0.02878104360145919
225,get_oracle_activations1_loop1.pipe,0.0066324550234701995,0.041353628630254276,0.6401343284245542,0.026471877291146237
35,weights1.ap.factor,0.015115207207906356,0.039454003728962114,0.5456206480096996,0.02152691908117341
230,get_oracle_activations1_loop1_1.unr.factor,0.006620449051714315,0.04063793254609119,0.5262755819171875,0.021386751598605553
1,weights3.ap.factor,0.007974614015754406,0.04058818449356403,0.5103424661130926,0.02071387416949865
83,update_weights_loop4.unr.factor,0.003853259352348725,0.019619297256116112,0.6491451988623568,0.012735772618861184
71,update_weights_loop3.pipe,0.0036435170311800193,0.021821559584794935,0.4821509661448705,0.010521286036596737
0,weights3.ap,0.0046902041955932455,0.008791850161250319,0.8684342284707743,0.007635143611616073
248,matrix_vector_product_with_bias_output_layer_loop1_1.pipe,0.0011109070486839093,0.007679353130421273,0.8953808045444643,0.00687594538429765
155,update_weights_loop11.pipe,0.001826452251524933,0.009205169455063302,0.7305020575623109,0.006724395227133478
194,training_targets.ap.factor,0.005013518084530216,0.01647173228600524,0.37791055055200407,0.0062248414167494605
43,biases2.ap.factor,0.0012862322151467435,0.007292850499054532,0.8374470345449798,0.006107376023813094
209,matrix_vector_product_with_bias_input_layer_loop1.pipe,0.0017879828276945607,0.009285931574618383,0.6349211512750712,0.005895834366018238
258,get_delta_matrix_weights1_loop1.lf,0.0022850274007714206,0.008512454097600675,0.6411906008496951,0.005458105557546026
94,update_weights_loop5.lf,0.0025993093301417067,0.011625218866042458,0.46503734285294224,0.005406160891548279
127,update_weights_loop8.pipe,0.0010899437678692674,0.005861927852700172,0.7720791723526117,0.004525872404903471
141,update_weights_loop9_1.pipe,0.0005755281884675691,0.006631982606730907,0.6205219126305895,0.0041152905316614655
10,get_oracle_activations2_loop1_1.unr,0.0015125231382058701,0.004558830237373205,0.8583753013218399,0.00391318727868034
192,training_data.ap.factor,0.0009909180265060002,0.004602099211741501,0.6542088176507378,0.0030107338840248
261,get_delta_matrix_weights1_loop1_1.unr.factor,0.0003989279295833933,0.004610253871697126,0.6477108473599631,0.002986111441781496
93,update_weights_loop5.pipe.off,0.006814132690462464,0.0036287744642838704,0.7599201326015554,0.002757578772079737
106,update_weights_loop6.pipe,0.0011120620770368392,0.00447025926994317,0.6105038853695836,0.0027291106529097036
227,get_oracle_activations1_loop1.lf,0.0005858721379420578,0.0028827821943545116,0.8902647609596956,0.002566439401155886
37,weights2.ap.factor,0.0023099074087495446,0.005714927224484344,0.4084522933660346,0.002334275131260617
189,delta_weights1.ap,0.0016080900262379892,0.0038809420096250955,0.5204135882241621,0.0020196949569188864
38,d_weights3.ap,0.001332842401183817,0.002531428114046394,0.796683569741844,0.002016747186443345
41,biases1.ap.factor,0.0014075720080519115,0.0051321146515148795,0.34832056962015057,0.0017876210987715834
181,get_delta_matrix_weights3_loop1_1.unr,0.0005987111866617847,0.002152191441426326,0.659105166119857,0.0014185204975230331
121,update_weights_loop7_1.pipe.off,0.004482596727472684,0.0014155844137109285,0.8841657091042996,0.0012516111969457172
62,update_weights_loop2.unr.factor,0.0005892179268538694,0.0023858488152581,0.5158799860779046,0.001230811653599334
179,get_delta_matrix_weights3_loop1.lf,0.00036498618974628274,0.0019395226241690686,0.6017970654578083,0.001167199023613973
55,update_weights_loop1_1.unr.factor,0.0036245349067047902,0.0029346367709822737,0.3937987241783524,0.001155656216339699
44,biases3.ap,0.0002503454396660086,0.0012100990648961341,0.8438303407199397,0.0010211183062361852
18,delta_weights2.ap.factor,0.001679328251116248,0.005499026067497261,0.1529158567091372,0.0008408882821772214
138,update_weights_loop9_1.unr,0.0003679719479343277,0.0009064915131841601,0.8972956578044795,0.000813390898616759
23,get_delta_matrix_weights2_loop1.pipe,0.0006092200937520251,0.003506563535048735,0.21697075515984343,0.0007608217382154941
85,update_weights_loop4.pipe,0.0003022878217244593,0.0019327341978701313,0.38864362835956073,0.000751144831314853
280,matrix_vector_product_with_bias_second_layer_loop1_1.pipe.off,0.0015252061678658303,0.0008358674716107694,0.7930724855028716,0.0006629034932613538
113,update_weights_loop7.pipe,0.00032943059512255467,0.0013560781973121774,0.40448090521641394,0.0005485077367930724
34,weights1.ap,0.0011134547226995424,0.002121833885928832,0.24318330145426748,0.000515994569517711
256,get_delta_matrix_weights1_loop1.pipe,0.00023682474725918138,0.0008840367995846594,0.519708160708271,0.0004594411391105697
210,matrix_vector_product_with_bias_input_layer_loop1.pipe.off,0.002252272406777099,0.0008177681719002163,0.43754414807000147,0.0003578096780928426
104,update_weights_loop6.unr.factor,0.00011363530367555536,0.000687131664600561,0.516459412074037,0.0003548756155170601
162,update_weights_loop11_1.pipe,0.00010842402250164412,0.0006057319978520404,0.5531887619964221,0.00033508413399338966
51,update_weights_loop1.pipe.off,0.0005004681199940247,0.0002811305699120857,0.8062420752915163,0.0002266592941138067
217,matrix_vector_product_with_bias_input_layer_loop1_1.pipe.off,7.276181566065029e-05,0.00019698769918832681,0.9113011814946741,0.00017951512301023968
25,get_delta_matrix_weights2_loop1.lf,0.000983189856410656,0.0008760079184488353,0.16671707206681133,0.00014604547527113186
135,update_weights_loop9.pipe.off,0.00024487470792237313,0.00016026128354977454,0.7931988787620136,0.0001271190704206423
