,feature,impact,risk_score,correlation,risk_correlation
24,loopi.pipe,2.428637139916162,9.559519343917849,0.9447376261322113,9.031237611937902
36,loopj.unr.factor,1.3369026060058815,2.018466608148508,0.38016948162806724,0.7673594041033814
38,loopj.pipe,0.24666141944088193,0.28617715923988596,0.9149849071176941,0.2618477814663126
33,loopk.lf,0.2002307404106356,0.3680024170162893,0.5428317784852379,0.19976340651581848
15,loopkk.unr.factor,0.07320788692812173,0.17845774218858215,0.5106220313674362,0.09112445482958004
32,loopk.pipe.off,0.14351826209926707,0.16621631490803493,0.4586939420777009,0.07624241672279507
3,m2.ap.factor,0.10416471399387185,0.12663733931049928,0.49362052768232945,0.06251079025473485
0,m1.ap,0.15534887718220144,0.12550556593087767,0.4252434214135719,0.053370416262893045
14,loopkk.unr,0.055041099512648545,0.05413658216117299,0.937803722964559,0.05076948829932476
7,loopjj.unr,0.07059881909684793,0.0665710807777791,0.2205163877115578,0.014680014259170168
12,loopjj.lf,0.0026122996594379706,0.01432150280679193,0.7183077821309554,0.010287246917928964
8,loopjj.unr.factor,0.03108166160265139,0.04163027230228695,0.22759260436940346,0.009474742093884929
5,prod.ap.factor,0.039272848403252444,0.03810390388618881,0.09811677956454727,0.0037386323381498835
29,loopk.unr.factor,0.005136434985067698,0.006415764525268843,0.19909118738223833,0.0012773221773006167
19,loopkk.lf,0.0008424864447023334,0.001633621002203383,0.5450680757255857,0.0008904346561359007
28,loopk.unr,0.0004278402220808233,0.00043348746868897953,0.659121482513044,0.00028572090301310694
6,bbgemm.lm,0.0,0.0,0.0,0.0
10,loopjj.pipe,0.0,0.0,0.0,0.0
17,loopkk.pipe,0.0,0.0,0.0,0.0
40,loopj.lf,0.0,0.0,0.0,0.0
41,loopj.lm,0.0,0.0,0.0,0.0
1,m1.ap.factor,0.04748164156654792,0.06430958436861407,-0.07909045096615039,-0.005086274029159383
13,loopjj.lm,0.025933003642710045,0.022298286221713353,-0.29712887732359944,-0.0066254647512979745
35,loopj.unr,0.0067013082307214224,0.010945863737850536,-0.8842073563959555,-0.009678413239115174
11,loopjj.pipe.off,0.017573679991228906,0.061885437187731436,-0.17418450634836635,-0.010779484326697833
2,m2.ap,0.03396821032242458,0.04166156433592259,-0.39840008310366115,-0.016597970693660088
20,loopkk.lm,0.048645196081631474,0.0349214704044358,-0.7100847282759623,-0.024797202823130853
4,prod.ap,0.03682974133221707,0.04288108050843189,-0.6262411009064498,-0.02685389506565849
31,loopk.pipe,0.08049942721819837,0.1750833951405557,-0.19914476834785236,-0.034866942166821464
21,loopi.unr,0.05328132509567951,0.06407031172971518,-0.7142108407792195,-0.04575971120946657
22,loopi.unr.factor,0.2711131634929934,0.21674856810010315,-0.41652487673610783,-0.09028117061062334
27,loopi.lm,0.30762146725381656,0.2854923371250762,-0.4343660761372952,-0.12400818624428521
34,loopk.lm,0.21413533141358781,0.16616503689152004,-0.7509075027718626,-0.12477457290020573
26,loopi.lf,0.3909478795603238,0.2888534256348778,-0.5051054727211033,-0.145901446102415
39,loopj.pipe.off,0.3211492162425037,0.4231480206541919,-0.4127638285176767,-0.17466019703490115
9,loopjj.unr.full,0.0,0.0,,
16,loopkk.unr.full,0.0,0.0,,
18,loopkk.pipe.off,0.0,0.0,,
23,loopi.unr.full,0.0,0.0,,
25,loopi.pipe.off,0.0,0.0,,
30,loopk.unr.full,0.0,0.0,,
37,loopj.unr.full,0.0,0.0,,
