,feature,impact,risk_score,correlation,risk_correlation
31,loop4.pipe,0.010098163680203208,0.1750427390244901,0.9613176324597129,0.16827167145828623
10,loop1.pipe,0.0008103384699646958,0.16368837093286856,0.9999999999999929,0.1636883709328674
24,loop3.pipe,0.04915844902319797,0.08742713935048635,0.9818853924306824,0.08584343103024425
36,loop5.unr.factor,0.021577059257118492,0.04411941566625573,0.7909902189661266,0.03489802625850918
17,loop2.pipe,0.011785728767126944,0.018380465156791523,0.9477293396894807,0.017419706106231538
43,loop6.unr.factor,0.00950678728798925,0.019075409952133505,0.46507252687068995,0.008871449107533036
21,loop3.unr,0.006059464662936679,0.0067136708915555825,0.7807462292587433,0.005241673233066206
7,loop1.unr,0.0039409708769159715,0.004885138326755381,0.809495047714051,0.003954495282906587
15,loop2.unr.factor,0.004274086632865025,0.005619025275805272,0.6216806073331166,0.0034932390460827548
22,loop3.unr.factor,0.00576096634883785,0.0084945410305445,0.38119328596693686,0.0032380620082142282
0,A.ap,0.0037422898561049064,0.0029791831576524595,0.9069841395040474,0.0027020718726683667
4,Q.ap,0.002671011060137607,0.0021811473836767068,0.7847537513780645,0.001711663591648746
14,loop2.unr,0.001731737913300882,0.0017547036325298738,0.7413147817495257,0.0013007877403839834
35,loop5.unr,0.0019426948562607752,0.002568593053143535,0.3113726599279547,0.0007997896512297688
28,loop4.unr,0.0010681578280891952,0.0014064348249014996,0.4346302252999438,0.0006112790848166257
2,R.ap,0.0007368708321787106,0.001049026132064295,0.27475975756349774,0.0002882301657237595
6,kernel_gramschmidt.lm,0.0,0.0,0.0,0.0
9,loop1.unr.full,0.0,0.0,0.0,0.0
12,loop1.lf,0.0,0.0,0.0,0.0
13,loop1.lm,0.0,0.0,0.0,0.0
19,loop2.lf,0.0,0.0,0.0,0.0
20,loop2.lm,0.0,0.0,0.0,0.0
26,loop3.lf,0.0,0.0,0.0,0.0
27,loop3.lm,0.0,0.0,0.0,0.0
33,loop4.lf,0.0,0.0,0.0,0.0
34,loop4.lm,0.0,0.0,0.0,0.0
40,loop5.lf,0.0,0.0,0.0,0.0
41,loop5.lm,0.0,0.0,0.0,0.0
47,loop6.lf,0.0,0.0,0.0,0.0
48,loop6.lm,0.0,0.0,0.0,0.0
8,loop1.unr.factor,0.0012114769212099989,0.0012840241492188772,-0.1982450759847695,-0.00025455146502817536
1,A.ap.factor,0.002315878136735398,0.002836179118982318,-0.1287852250345347,-0.0003652579660763862
5,Q.ap.factor,0.0020114968743431567,0.0016974286490479354,-0.27105290426838236,-0.0004600929651127996
29,loop4.unr.factor,0.007004890720388695,0.00424463817309322,-0.380878691594347,-0.001616692233659165
3,R.ap.factor,0.003895466247040491,0.0026801630148101073,-0.7499161130049993,-0.002009897430286156
42,loop6.unr,0.004480759726308911,0.004525512531514457,-0.9360366560108901,-0.004236045616734171
39,loop5.pipe.off,0.004027750713550474,0.006315554623411397,-0.8854334607437561,-0.005592003386723382
38,loop5.pipe,0.017730202446324898,0.012212460633664239,-0.7193355791793461,-0.00878485744312183
45,loop6.pipe,0.023672367716224392,0.015121831484335085,-0.7140207584022745,-0.01079730158487633
32,loop4.pipe.off,0.0785998395157335,0.07274730262641607,-0.9889326776570843,-0.07194218477867188
11,loop1.pipe.off,0.10044993304965612,0.09178389792307226,-0.9933520992451432,-0.09117372767878577
16,loop2.unr.full,0.0,0.0,,
18,loop2.pipe.off,0.0,0.0,,
23,loop3.unr.full,0.0,0.0,,
25,loop3.pipe.off,0.0,0.0,,
30,loop4.unr.full,0.0,0.0,,
37,loop5.unr.full,0.0,0.0,,
44,loop6.unr.full,0.0,0.0,,
46,loop6.pipe.off,0.0,0.0,,
