,feature,impact,risk_score,correlation,risk_correlation
5,indata.ap.factor,0.02416495658225405,0.034252191761993976,0.4060172536816009,0.013906980831780349
32,Reflection_coefficients_label4.pipe,0.012973395050231486,0.014633169012807375,0.6503154966160186,0.009516176573629962
7,Reflection_coefficients.lm,0.004927738249034601,0.006339516042646817,0.6788523005207328,0.0043035950497388835
3,L_ACF.ap.factor,0.006922503825265063,0.009189876562604466,0.39422441664704905,0.003622873726951134
53,Reflection_coefficients_label0.pipe,0.002587399216472175,0.0039075883394398166,0.6682789976838206,0.0026113592188418255
50,Reflection_coefficients_label0.unr,0.003244622297894279,0.0034657284355273012,0.22917575488040864,0.0007942609304224669
102,gsm_div_label0.unr,0.0016831077561821433,0.0018086440009485688,0.3774705308306352,0.0006827098111217002
25,Reflection_coefficients_label3.pipe,0.0025193423678737626,0.0027312889007210565,0.2486287806276996,0.0006790770289282463
4,indata.ap,0.001119232782745748,0.0005911427038268956,0.5395154829512585,0.0003189306413482804
9,Reflection_coefficients_label1.unr.factor,0.0008164023151541203,0.0011867254232520463,0.2577366040999263,0.00030586258058803013
51,Reflection_coefficients_label0.unr.factor,0.0006083728685358788,0.0008521257301147056,0.16106247987108863,0.00013724548325423646
2,L_ACF.ap,0.001575949684605033,0.0016725438258046676,0.011616268396517093,1.942871798548455e-05
46,Reflection_coefficients_label6.pipe,4.03975581205231e-05,2.193498741249849e-05,0.6970524888085243,1.5289837567865726e-05
6,Gsm_LPC_Analysis.lm,0.0,0.0,0.0,0.0
13,Reflection_coefficients_label1.lf,0.0,0.0,0.0,0.0
14,Reflection_coefficients_label1.lm,0.0,0.0,0.0,0.0
20,Reflection_coefficients_label2.lf,0.0,0.0,0.0,0.0
21,Reflection_coefficients_label2.lm,0.0,0.0,0.0,0.0
27,Reflection_coefficients_label3.lf,0.0,0.0,0.0,0.0
28,Reflection_coefficients_label3.lm,0.0,0.0,0.0,0.0
34,Reflection_coefficients_label4.lf,0.0,0.0,0.0,0.0
41,Reflection_coefficients_label5.lf,0.0,0.0,0.0,0.0
42,Reflection_coefficients_label5.lm,0.0,0.0,0.0,0.0
43,Reflection_coefficients_label6.unr,0.0,0.0,0.0,0.0
44,Reflection_coefficients_label6.unr.factor,0.0,0.0,0.0,0.0
45,Reflection_coefficients_label6.unr.full,0.0,0.0,0.0,0.0
48,Reflection_coefficients_label6.lf,0.0,0.0,0.0,0.0
49,Reflection_coefficients_label6.lm,0.0,0.0,0.0,0.0
55,Reflection_coefficients_label0.lf,0.0,0.0,0.0,0.0
56,Reflection_coefficients_label0.lm,0.0,0.0,0.0,0.0
