,feature,impact,risk_score,correlation,risk_correlation
18,loop_i.pipe,11.913121479279093,31.266385824948596,0.9974458787356556,31.1865276840539
20,loop_i.lf,0.027668146655516382,9.158156542975922,1.0,9.158156542975922
23,loop_j.unr.factor,0.6892357244403527,0.6389813043675562,0.5422891289206697,0.34651261494207536
25,loop_j.pipe,0.38113556049836356,0.39442915409453927,0.6684444755823634,0.2636539890631195
19,loop_i.pipe.off,0.13071228370606283,0.19643810105581447,0.7733679470290825,0.15191893093182668
4,force_z.ap,0.2251908909959279,0.21710067028745175,0.5872374194732347,0.12748963738551272
0,force_x.ap,0.1599810055199889,0.24030682120108735,0.4873452306214482,0.11711238319815102
10,position_z.ap,0.14862707954765703,0.1461596833827953,0.5303924710358162,0.07752199563521332
22,loop_j.unr,0.09848432556205867,0.07119867857943075,0.934996463144315,0.06657051265231666
8,position_y.ap,0.1274218061341063,0.09314363578400583,0.5783875222424014,0.053873116713759814
21,loop_i.lm,0.04769124368081285,0.121943521321305,0.42821268749084035,0.0522177629870926
5,force_z.ap.factor,0.14331057092357727,0.20725148858693615,0.228400026034747,0.047336245388996286
15,loop_i.unr,0.06900921883675301,0.05443202624334452,0.8081848152750274,0.04399113707452283
2,force_y.ap,0.029243208676339894,0.021805058917088983,0.8961482419260044,0.01954056521364224
11,position_z.ap.factor,0.20333598103292444,0.24020488254519953,0.07083661955583637,0.01701530188030866
12,NL.ap,0.004548950869764528,0.005329785215434388,0.18069500358929194,0.0009630655586330719
14,md_kernel.lm,0.0,0.0,0.0,0.0
27,loop_j.lf,0.0,0.0,0.0,0.0
28,loop_j.lm,0.0,0.0,0.0,0.0
6,position_x.ap,0.020354344749944138,0.017805243863791474,-0.007509646734588507,-0.0001337110914402737
1,force_x.ap.factor,0.08567958991206746,0.11195078469281401,-0.1211830801088119,-0.013566540909673633
9,position_y.ap.factor,0.19387424847199003,0.16111408320374243,-0.08899998826264563,-0.014339151514079988
3,force_y.ap.factor,0.09338385559031502,0.06579566433908597,-0.3481773397836758,-0.022908559378882618
16,loop_i.unr.factor,0.19008691973291053,0.16008829556293314,-0.14342872442304425,-0.022961260027650792
7,position_x.ap.factor,0.296758522838546,0.36434569833329117,-0.2536143706225252,-0.09240330497182206
13,NL.ap.factor,0.5093517965812422,0.3304467525292955,-0.3592579193297945,-0.11871561276296222
17,loop_i.unr.full,0.0,0.0,,
24,loop_j.unr.full,0.0,0.0,,
26,loop_j.pipe.off,0.0,0.0,,
