,feature,impact,risk_score,correlation,risk_correlation
62,loop_row.unr.factor,0.05325574305193939,0.07459733121297205,0.9326729436919735,0.06957491249396777
41,row_bound_col.unr.factor,0.024355904921753553,0.025039170813413503,0.7912100870751513,0.019811244519570483
22,col_bound_height.pipe,0.015528968427229438,0.024232865114258848,0.7049989960343489,0.017084145576588286
13,height_bound_row.unr.factor,0.014242147097226873,0.01594550866988268,0.6413973331928348,0.010227406737265977
50,loop_height.pipe,0.002649321952895193,0.010601145274227246,0.8852115822342553,0.009384256581693898
64,loop_row.pipe,0.007073893314205661,0.009633541112388367,0.7068264184650374,0.006809241361605161
36,row_bound_height.pipe,0.007109859267169441,0.008087457902670203,0.740066912863507,0.00598526000294271
61,loop_row.unr,0.012757611829683713,0.005826859164660096,0.7288310112704581,0.004246795657509754
27,col_bound_row.unr.factor,0.012020726345498056,0.011537976553693298,0.3055593051156004,0.0035255360981866143
43,row_bound_col.pipe,0.00199907303271975,0.003427651672191901,0.727411970966813,0.002493314858656803
53,loop_height.lm,0.002827177583948595,0.003236952976022694,0.6767302242102113,0.0021905439132217487
59,loop_col.lf,0.0023519995902779502,0.0034902880711133997,0.41720062482383635,0.001456150364083693
0,orig.ap,0.003993559543238566,0.0023180887103185434,0.5090531616197678,0.0011800303869027445
3,sol.ap.factor,0.003259117178715059,0.0035081753600557084,0.26044528459976934,0.0009136877300756072
38,row_bound_height.lf,0.0013936352216692917,0.0016560259500028914,0.403070024659132,0.000667494420503828
24,col_bound_height.lf,0.0007824052536277837,0.0013241242174880017,0.3608400217001173,0.00047779701137202135
60,loop_col.lm,0.0015993575502667543,0.0019442100910425349,0.18189334416436456,0.00035363887521783037
33,row_bound_height.unr,0.0008426770015231505,0.0006654969793984078,0.4130562317651586,0.0002748876745614017
25,col_bound_height.lm,0.0007614018052370386,0.0006098811976530175,0.1762572985667679,0.00010749601234498589
23,col_bound_height.pipe.off,0.0003098789813630013,0.00047995585433200185,0.21369657186848479,0.00010256492071895865
52,loop_height.lf,0.0011004691209661442,0.0011140359548927553,0.0782078814608996,8.712639190343271e-05
8,height_bound_col.pipe,0.0007174462626114111,0.0007748216780759534,0.10953238474537717,8.486806615207411e-05
2,sol.ap,0.0008377478157042486,0.000734814214150084,0.11242366802665625,8.261050927287734e-05
5,height_bound_col.unr,0.0008427644701574078,0.0007209450769225925,0.09461944465027981,6.821542280176896e-05
26,col_bound_row.unr,0.0002862500587693861,0.00015915324902037128,0.38570014173139505,6.138543070416921e-05
40,row_bound_col.unr,0.0001552384698968054,9.398432739310755e-05,0.5083749444170987,4.777927721454946e-05
4,stencil3d.lm,0.0,0.0,0.0,0.0
18,height_bound_row.lm,0.0,0.0,0.0,0.0
32,col_bound_row.lm,0.0,0.0,0.0,0.0
46,row_bound_col.lm,0.0,0.0,0.0,0.0
67,loop_row.lm,0.0,0.0,0.0,0.0
37,row_bound_height.pipe.off,0.0005096937352134389,0.00018623930655726966,-0.5708533293265622,-0.00010631532819968763
66,loop_row.lf,0.0004336707672850912,0.0002730147889043171,-0.5458739765867137,-0.00014903166848618176
54,loop_col.unr,0.0006601486161614844,0.0006688883230908271,-0.23156047038179242,-0.00015488809472780025
29,col_bound_row.pipe,0.001519624225015256,0.0018045805299387791,-0.1403502121265718,-0.00025327326017638904
34,row_bound_height.unr.factor,0.004073313343355469,0.004303546042178636,-0.06049320542206073,-0.00026033529477280864
19,col_bound_height.unr,0.0011144847073045676,0.001282234128912399,-0.23433529325211497,-0.00030047271061655717
15,height_bound_row.pipe,0.0009291061004418943,0.0009465477109664691,-0.39133326400973045,-0.00037041560527344727
9,height_bound_col.pipe.off,0.0008330498502767352,0.0005728016309954089,-0.7203661932596026,-0.0004126269304130543
6,height_bound_col.unr.factor,0.001752784177300923,0.0016313855574113625,-0.2563991277017809,-0.00041828583386555696
30,col_bound_row.pipe.off,0.0009093546069028378,0.0008350235781781099,-0.6623963742201792,-0.0005531165905735404
10,height_bound_col.lf,0.0022356946894324277,0.0017255981436085249,-0.44022674603406237,-0.0007596544557231995
39,row_bound_height.lm,0.001909228951775983,0.0020690507806206894,-0.438593074043273,-0.0009074713422240619
57,loop_col.pipe,0.001623516430801183,0.001209782943485052,-0.8419516729911732,-0.0010185787732234254
11,height_bound_col.lm,0.004597911324003412,0.005723529413091414,-0.1802066081414622,-0.0010314178221310975
44,row_bound_col.pipe.off,0.0022638454098974693,0.0018024449378326853,-0.7411657076389102,-0.0013359103778289338
12,height_bound_row.unr,0.0017992821505152408,0.003041950806487009,-0.5363633895909028,-0.0016315910455361525
55,loop_col.unr.factor,0.004388810461812857,0.004258310857924553,-0.4810477927256972,-0.0020484510389444763
65,loop_row.pipe.off,0.0047470182888267,0.0037458206162019458,-0.7793159305059724,-0.0029191776790238743
47,loop_height.unr,0.005085399366420272,0.004621426427065627,-0.8104252791650693,-0.00374532080229549
20,col_bound_height.unr.factor,0.007324815020763269,0.006301436451122579,-0.5949922751766465,-0.0037493060109344764
1,orig.ap.factor,0.01927641405611623,0.01397386887260193,-0.3128426998683321,-0.004371622865710833
16,height_bound_row.pipe.off,0.0068921219858187974,0.006090116376721352,-0.7546241030624102,-0.004595748608329045
51,loop_height.pipe.off,0.03571367990646409,0.015082511893719662,-0.9251032538207145,-0.013952880828669686
58,loop_col.pipe.off,0.040333426920998915,0.01784446588265979,-0.8160024579287529,-0.014561128020676162
7,height_bound_col.unr.full,0.0,0.0,,
14,height_bound_row.unr.full,0.0,0.0,,
17,height_bound_row.lf,0.0,0.0,,
21,col_bound_height.unr.full,0.0,0.0,,
28,col_bound_row.unr.full,0.0,0.0,,
31,col_bound_row.lf,0.0,0.0,,
35,row_bound_height.unr.full,0.0,0.0,,
42,row_bound_col.unr.full,0.0,0.0,,
45,row_bound_col.lf,0.0,0.0,,
48,loop_height.unr.factor,0.0,0.0,,
49,loop_height.unr.full,0.0,0.0,,
56,loop_col.unr.full,0.0,0.0,,
63,loop_row.unr.full,0.0,0.0,,
