,feature,impact,risk_score,correlation,risk_correlation
16,loop1.lf,0.06435152598870884,0.057666088037494664,0.9320429624390147,0.05374727152673556
8,smem.ap,0.02211378248137851,0.033383675264459865,0.8998612293976909,0.030040675065290137
9,smem.ap.factor,0.010774493368285315,0.01981993160434618,0.6152490207377564,0.012194193510663297
26,loop3.unr.factor,0.0033257222056116767,0.022294710800789545,0.4381739870083964,0.009768962320781113
51,loop6.lf,0.0070037559143044745,0.006338799878193469,0.8669386450473199,0.005495350577627163
33,loop4.unr.factor,0.002766991447276806,0.011083155700982956,0.4341936615601568,0.0048122359554511164
84,loop11.pipe,0.001126267613805994,0.004266488223748758,0.8335911757545921,0.003556506934777848
0,DATA_x.ap,0.0026422765663425152,0.004591720148660051,0.7573900513779231,0.003477723159306681
1,DATA_x.ap.factor,0.004166305710542801,0.003247585702085726,0.5401355520771464,0.0017541364961139205
39,loop5.unr,0.0010160671859569571,0.0019875437537340847,0.7202104940538502,0.0014314498688304692
77,loop10.pipe,0.0004702884981763115,0.001847456912944267,0.7475637305069663,0.0013810917817915
63,loop8.pipe,0.0004453832427012068,0.001613711774112959,0.7181059248418673,0.0011588159859775968
42,loop5.pipe,0.00042005284595517675,0.0015387532260486732,0.7226361094897081,0.0011119586447365505
2,DATA_y.ap,0.0009962160058910581,0.0014522452055582306,0.6456325030299852,0.0009376167070778558
28,loop3.pipe,0.00042217421468415515,0.0007904936025786988,0.59814565133602,0.00047283031079139277
3,DATA_y.ap.factor,0.0014383039593481514,0.005286839701009774,0.08580068702450766,0.0004536144785350813
40,loop5.unr.factor,0.00011025180728193483,0.0007957285237193026,0.48756581847388264,0.0003879700289502161
19,loop2.unr.factor,0.00031636337489794283,0.0025565264622543532,0.14938966608209167,0.00038191863452620894
78,loop10.pipe.off,0.0009058613841383097,0.0005752322205395879,0.5987185233160396,0.00034440218564526847
5,data_x.ap.factor,0.00020151943491926726,0.0008057395773394858,0.36354729526973023,0.0002929244440335457
68,loop9.unr.factor,0.00024428027869845926,0.0004217521301317598,0.266400427663007,0.00011235494783488499
56,loop7.pipe,2.7863380461706025e-05,0.00012961636324874346,0.7366570772837591,9.54828113189694e-05
35,loop4.pipe,3.105056302171954e-05,0.00011800260671761861,0.7383728582338989,8.712992200113872e-05
21,loop2.pipe,2.5700494918765046e-05,0.00011821047664278695,0.7024005693397023,8.303110609581113e-05
70,loop9.pipe,2.4433908366915406e-05,0.00011930103194790717,0.5782264741202221,6.898301506214233e-05
64,loop8.pipe.off,0.00022760961685369842,0.00010113248369414655,0.36853485262431884,3.7270844973753626e-05
43,loop5.pipe.off,3.170071194844418e-05,1.6876788706023904e-05,0.7274629920517789,1.227723920830982e-05
57,loop7.pipe.off,1.4722045121984013e-06,8.5633093064914e-07,0.5885286299282317,5.03975269380106e-07
17,loop1.lm,0.0,0.0,0.0,0.0
23,loop2.lf,0.0,0.0,0.0,0.0
24,loop2.lm,0.0,0.0,0.0,0.0
30,loop3.lf,0.0,0.0,0.0,0.0
31,loop3.lm,0.0,0.0,0.0,0.0
37,loop4.lf,0.0,0.0,0.0,0.0
38,loop4.lm,0.0,0.0,0.0,0.0
44,loop5.lf,0.0,0.0,0.0,0.0
45,loop5.lm,0.0,0.0,0.0,0.0
48,loop6.unr.full,0.0,0.0,0.0,0.0
52,loop6.lm,0.0,0.0,0.0,0.0
58,loop7.lf,0.0,0.0,0.0,0.0
59,loop7.lm,0.0,0.0,0.0,0.0
65,loop8.lf,0.0,0.0,0.0,0.0
66,loop8.lm,0.0,0.0,0.0,0.0
72,loop9.lf,0.0,0.0,0.0,0.0
73,loop9.lm,0.0,0.0,0.0,0.0
79,loop10.lf,0.0,0.0,0.0,0.0
80,loop10.lm,0.0,0.0,0.0,0.0
83,loop11.unr.full,0.0,0.0,0.0,0.0
86,loop11.lf,0.0,0.0,0.0,0.0
87,loop11.lm,0.0,0.0,0.0,0.0
